ATL03_20220501025534_05961503_006_02.h5,geojsons/simplified_GRE_2500_CE.geojson,GrIS_2022_simplified_GRE_2500_CE
ATL03_20220501154027_06041505_006_01.h5,geojsons/simplified_GRE_2500_CE.geojson,GrIS_2022_simplified_GRE_2500_CE
ATL03_20220503033831_06271503_006_01.h5,geojsons/simplified_GRE_2500_CE.geojson,GrIS_2022_simplified_GRE_2500_CE
ATL03_20220504031254_06421503_006_01.h5,geojsons/simplified_GRE_2500_CE.geojson,GrIS_2022_simplified_GRE_2500_CE
ATL03_20220504155747_06501505_006_01.h5,geojsons/simplified_GRE_2500_CE.geojson,GrIS_2022_simplified_GRE_2500_CE
ATL03_20220505024714_06571503_006_01.h5,geojsons/simplified_GRE_2500_CE.geojson,GrIS_2022_simplified_GRE_2500_CE
ATL03_20220505153207_06651505_006_01.h5,geojsons/simplified_GRE_2500_CE.geojson,GrIS_2022_simplified_GRE_2500_CE
ATL03_20220507033018_06881503_006_01.h5,geojsons/simplified_GRE_2500_CE.geojson,GrIS_2022_simplified_GRE_2500_CE
ATL03_20220508030435_07031503_006_01.h5,geojsons/simplified_GRE_2500_CE.geojson,GrIS_2022_simplified_GRE_2500_CE
ATL03_20220508154927_07111505_006_01.h5,geojsons/simplified_GRE_2500_CE.geojson,GrIS_2022_simplified_GRE_2500_CE
ATL03_20220509023853_07181503_006_01.h5,geojsons/simplified_GRE_2500_CE.geojson,GrIS_2022_simplified_GRE_2500_CE
ATL03_20220509152345_07261505_006_01.h5,geojsons/simplified_GRE_2500_CE.geojson,GrIS_2022_simplified_GRE_2500_CE
ATL03_20220511032157_07491503_006_01.h5,geojsons/simplified_GRE_2500_CE.geojson,GrIS_2022_simplified_GRE_2500_CE
ATL03_20220512025617_07641503_006_01.h5,geojsons/simplified_GRE_2500_CE.geojson,GrIS_2022_simplified_GRE_2500_CE
ATL03_20220512154109_07721505_006_01.h5,geojsons/simplified_GRE_2500_CE.geojson,GrIS_2022_simplified_GRE_2500_CE
ATL03_20220513023040_07791503_006_01.h5,geojsons/simplified_GRE_2500_CE.geojson,GrIS_2022_simplified_GRE_2500_CE
ATL03_20220513151532_07871505_006_01.h5,geojsons/simplified_GRE_2500_CE.geojson,GrIS_2022_simplified_GRE_2500_CE
ATL03_20220516024758_08251503_006_01.h5,geojsons/simplified_GRE_2500_CE.geojson,GrIS_2022_simplified_GRE_2500_CE
ATL03_20220517022218_08401503_006_01.h5,geojsons/simplified_GRE_2500_CE.geojson,GrIS_2022_simplified_GRE_2500_CE
ATL03_20220517150711_08481505_006_01.h5,geojsons/simplified_GRE_2500_CE.geojson,GrIS_2022_simplified_GRE_2500_CE
ATL03_20220520023936_08861503_006_01.h5,geojsons/simplified_GRE_2500_CE.geojson,GrIS_2022_simplified_GRE_2500_CE
ATL03_20220520152428_08941505_006_01.h5,geojsons/simplified_GRE_2500_CE.geojson,GrIS_2022_simplified_GRE_2500_CE
ATL03_20220521021355_09011503_006_01.h5,geojsons/simplified_GRE_2500_CE.geojson,GrIS_2022_simplified_GRE_2500_CE
ATL03_20220521145848_09091505_006_01.h5,geojsons/simplified_GRE_2500_CE.geojson,GrIS_2022_simplified_GRE_2500_CE
ATL03_20220522143308_09241505_006_01.h5,geojsons/simplified_GRE_2500_CE.geojson,GrIS_2022_simplified_GRE_2500_CE
ATL03_20220524151608_09551505_006_01.h5,geojsons/simplified_GRE_2500_CE.geojson,GrIS_2022_simplified_GRE_2500_CE
ATL03_20220525020536_09621503_006_01.h5,geojsons/simplified_GRE_2500_CE.geojson,GrIS_2022_simplified_GRE_2500_CE
ATL03_20220525145029_09701505_006_01.h5,geojsons/simplified_GRE_2500_CE.geojson,GrIS_2022_simplified_GRE_2500_CE
ATL03_20220526013957_09771503_006_01.h5,geojsons/simplified_GRE_2500_CE.geojson,GrIS_2022_simplified_GRE_2500_CE
ATL03_20220526142450_09851505_006_01.h5,geojsons/simplified_GRE_2500_CE.geojson,GrIS_2022_simplified_GRE_2500_CE
ATL03_20220528022258_10081503_006_01.h5,geojsons/simplified_GRE_2500_CE.geojson,GrIS_2022_simplified_GRE_2500_CE
ATL03_20220528150753_10161505_006_01.h5,geojsons/simplified_GRE_2500_CE.geojson,GrIS_2022_simplified_GRE_2500_CE
ATL03_20220529015721_10231503_006_01.h5,geojsons/simplified_GRE_2500_CE.geojson,GrIS_2022_simplified_GRE_2500_CE
