granule_url,granule_id,polygon,descriptor,polygon_full,size_mb,mem_request,dsk_request
https://n5eil02u.ecs.nsidc.org/esir/5000005624143/264224579/processed_ATL03_20190906161530_10780405_006_02.h5,ATL03_20190906161530_10780405_006_02,geojsons/simplified_GRE_2200_NW.geojson,GrIS_2019_2200_NW,geojsons/GRE_2200_NW.geojson,566.64,11367MB,3511040KB
https://n5eil02u.ecs.nsidc.org/esir/5000005624143/264225043/processed_ATL03_20190903031317_10240403_006_02.h5,ATL03_20190903031317_10240403_006_02,geojsons/simplified_GRE_2200_NW.geojson,GrIS_2019_2200_NW,geojsons/GRE_2200_NW.geojson,319.94,8160MB,2853174KB
https://n5eil02u.ecs.nsidc.org/esir/5000005624143/264227745/processed_ATL03_20190902162350_10170405_006_02.h5,ATL03_20190902162350_10170405_006_02,geojsons/simplified_GRE_2200_NW.geojson,GrIS_2019_2200_NW,geojsons/GRE_2200_NW.geojson,491.11,10385MB,3309627KB
https://n5eil02u.ecs.nsidc.org/esir/5000005624143/264228667/processed_ATL03_20190902033857_10090403_006_02.h5,ATL03_20190902033857_10090403_006_02,geojsons/simplified_GRE_2200_NW.geojson,GrIS_2019_2200_NW,geojsons/GRE_2200_NW.geojson,134.29,5746MB,2358107KB
https://n5eil02u.ecs.nsidc.org/esir/5000005624143/264229712/processed_ATL03_20190915024819_12070403_006_02.h5,ATL03_20190915024819_12070403_006_02,geojsons/simplified_GRE_2200_NW.geojson,GrIS_2019_2200_NW,geojsons/GRE_2200_NW.geojson,32.31,4421MB,2086160KB
https://n5eil02u.ecs.nsidc.org/esir/5000005624143/264229927/processed_ATL03_20190913033937_11770403_006_02.h5,ATL03_20190913033937_11770403_006_02,geojsons/simplified_GRE_2200_NW.geojson,GrIS_2019_2200_NW,geojsons/GRE_2200_NW.geojson,30.86,4402MB,2082294KB
https://n5eil02u.ecs.nsidc.org/esir/5000005624143/264230194/processed_ATL03_20190913162430_11850405_006_02.h5,ATL03_20190913162430_11850405_006_02,geojsons/simplified_GRE_2200_NW.geojson,GrIS_2019_2200_NW,geojsons/GRE_2200_NW.geojson,575.77,11486MB,3535387KB
https://n5eil02u.ecs.nsidc.org/esir/5000005624143/264230264/processed_ATL03_20190919023959_12680403_006_02.h5,ATL03_20190919023959_12680403_006_02,geojsons/simplified_GRE_2200_NW.geojson,GrIS_2019_2200_NW,geojsons/GRE_2200_NW.geojson,143.98,5872MB,2383947KB
https://n5eil02u.ecs.nsidc.org/esir/5000005624143/264231405/processed_ATL03_20190903155810_10320405_006_02.h5,ATL03_20190903155810_10320405_006_02,geojsons/simplified_GRE_2200_NW.geojson,GrIS_2019_2200_NW,geojsons/GRE_2200_NW.geojson,709.97,13230MB,3893254KB
https://n5eil02u.ecs.nsidc.org/esir/5000005624143/264232296/processed_ATL03_20190905164108_10630405_006_02.h5,ATL03_20190905164108_10630405_006_02,geojsons/simplified_GRE_2200_NW.geojson,GrIS_2019_2200_NW,geojsons/GRE_2200_NW.geojson,339.38,8412MB,2905014KB
https://n5eil02u.ecs.nsidc.org/esir/5000005624143/264232327/processed_ATL03_20190907154951_10930405_006_02.h5,ATL03_20190907154951_10930405_006_02,geojsons/simplified_GRE_2200_NW.geojson,GrIS_2019_2200_NW,geojsons/GRE_2200_NW.geojson,615.57,12003MB,3641520KB
https://n5eil02u.ecs.nsidc.org/esir/5000005624143/264234526/processed_ATL03_20190926153355_13830405_006_02.h5,ATL03_20190926153355_13830405_006_02,geojsons/simplified_GRE_2200_NW.geojson,GrIS_2019_2200_NW,geojsons/GRE_2200_NW.geojson,201.29,6617MB,2536774KB
https://n5eil02u.ecs.nsidc.org/esir/5000005624143/264237309/processed_ATL03_20190912023059_11610403_006_02.h5,ATL03_20190912023059_11610403_006_02,geojsons/simplified_GRE_2200_NW.geojson,GrIS_2019_2200_NW,geojsons/GRE_2200_NW.geojson,28.35,4369MB,2075600KB
https://n5eil02u.ecs.nsidc.org/esir/5000005624143/264238493/processed_ATL03_20190908165829_11090405_006_02.h5,ATL03_20190908165829_11090405_006_02,geojsons/simplified_GRE_2200_NW.geojson,GrIS_2019_2200_NW,geojsons/GRE_2200_NW.geojson,454.79,9913MB,3212774KB
https://n5eil02u.ecs.nsidc.org/esir/5000005624143/264238831/processed_ATL03_20190917033118_12380403_006_02.h5,ATL03_20190917033118_12380403_006_02,geojsons/simplified_GRE_2200_NW.geojson,GrIS_2019_2200_NW,geojsons/GRE_2200_NW.geojson,10.22,4133MB,2027254KB
https://n5eil02u.ecs.nsidc.org/esir/5000005624143/264240611/processed_ATL03_20190906033036_10700403_006_02.h5,ATL03_20190906033036_10700403_006_02,geojsons/simplified_GRE_2200_NW.geojson,GrIS_2019_2200_NW,geojsons/GRE_2200_NW.geojson,18.51,4241MB,2049360KB
https://n5eil02u.ecs.nsidc.org/esir/5000005624143/264240724/processed_ATL03_20190924162513_13530405_006_02.h5,ATL03_20190924162513_13530405_006_02,geojsons/simplified_GRE_2200_NW.geojson,GrIS_2019_2200_NW,geojsons/GRE_2200_NW.geojson,142.24,5850MB,2379307KB
https://n5eil02u.ecs.nsidc.org/esir/5000005624143/264241817/processed_ATL03_20190916164150_12310405_006_02.h5,ATL03_20190916164150_12310405_006_02,geojsons/simplified_GRE_2200_NW.geojson,GrIS_2019_2200_NW,geojsons/GRE_2200_NW.geojson,347.05,8512MB,2925467KB
