granule_url,granule_id,polygon,descriptor,polygon_full,size_mb,mem_request,dsk_request
https://n5eil02u.ecs.nsidc.org/esir/5000005624143/264224579/processed_ATL03_20190906161530_10780405_006_02.h5,ATL03_20190906161530_10780405_006_02,geojsons/simplified_GRE_2200_NW.geojson,GrIS_2019_2200_NW,geojsons/GRE_2200_NW.geojson,566.64,10396MB,2916600KB
https://n5eil02u.ecs.nsidc.org/esir/5000005624143/264225043/processed_ATL03_20190903031317_10240403_006_02.h5,ATL03_20190903031317_10240403_006_02,geojsons/simplified_GRE_2200_NW.geojson,GrIS_2019_2200_NW,geojsons/GRE_2200_NW.geojson,319.94,7205MB,2299850KB
https://n5eil02u.ecs.nsidc.org/esir/5000005624143/264227745/processed_ATL03_20190902162350_10170405_006_02.h5,ATL03_20190902162350_10170405_006_02,geojsons/simplified_GRE_2200_NW.geojson,GrIS_2019_2200_NW,geojsons/GRE_2200_NW.geojson,491.11,9419MB,2727775KB
https://n5eil02u.ecs.nsidc.org/esir/5000005624143/264228667/processed_ATL03_20190902033857_10090403_006_02.h5,ATL03_20190902033857_10090403_006_02,geojsons/simplified_GRE_2200_NW.geojson,GrIS_2019_2200_NW,geojsons/GRE_2200_NW.geojson,134.29,3940MB,1835725KB
https://n5eil02u.ecs.nsidc.org/esir/5000005624143/264229712/processed_ATL03_20190915024819_12070403_006_02.h5,ATL03_20190915024819_12070403_006_02,geojsons/simplified_GRE_2200_NW.geojson,GrIS_2019_2200_NW,geojsons/GRE_2200_NW.geojson,32.31,1860MB,1580775KB
https://n5eil02u.ecs.nsidc.org/esir/5000005624143/264229927/processed_ATL03_20190913033937_11770403_006_02.h5,ATL03_20190913033937_11770403_006_02,geojsons/simplified_GRE_2200_NW.geojson,GrIS_2019_2200_NW,geojsons/GRE_2200_NW.geojson,30.86,1830MB,1577150KB
https://n5eil02u.ecs.nsidc.org/esir/5000005624143/264230194/processed_ATL03_20190913162430_11850405_006_02.h5,ATL03_20190913162430_11850405_006_02,geojsons/simplified_GRE_2200_NW.geojson,GrIS_2019_2200_NW,geojsons/GRE_2200_NW.geojson,575.77,10514MB,2939425KB
https://n5eil02u.ecs.nsidc.org/esir/5000005624143/264230264/processed_ATL03_20190919023959_12680403_006_02.h5,ATL03_20190919023959_12680403_006_02,geojsons/simplified_GRE_2200_NW.geojson,GrIS_2019_2200_NW,geojsons/GRE_2200_NW.geojson,143.98,4138MB,1859950KB
https://n5eil02u.ecs.nsidc.org/esir/5000005624143/264231405/processed_ATL03_20190903155810_10320405_006_02.h5,ATL03_20190903155810_10320405_006_02,geojsons/simplified_GRE_2200_NW.geojson,GrIS_2019_2200_NW,geojsons/GRE_2200_NW.geojson,709.97,12249MB,3274925KB
https://n5eil02u.ecs.nsidc.org/esir/5000005624143/264232296/processed_ATL03_20190905164108_10630405_006_02.h5,ATL03_20190905164108_10630405_006_02,geojsons/simplified_GRE_2200_NW.geojson,GrIS_2019_2200_NW,geojsons/GRE_2200_NW.geojson,339.38,7456MB,2348450KB
