ice_sheet,melt_season,geojson,start_date,end_date,status_url,request_code,ngranules_request,status,orderID,status_txt,nprocessed,n_links,gran_list_url,order_overview_url,order_summary_url,available_until
GrIS,2022,simplified_GRE_2200_NO.geojson,2022-05-01,2022-09-30,https://n5eil02u.ecs.nsidc.org/egi/request/5000005624152,201,1008,pending,5000005624152,-1,0,0,,,,not yet available
GrIS,2023,simplified_GRE_2200_NO.geojson,2023-05-01,2023-09-30,https://n5eil02u.ecs.nsidc.org/egi/request/5000005624154,201,1009,pending,5000005624154,-1,0,0,,,,not yet available
GrIS,2019,simplified_GRE_2200_CE.geojson,2019-05-01,2019-09-30,https://n5eil02u.ecs.nsidc.org/egi/request/5000005624155,201,169,,,-1,0,0,,,,
GrIS,2020,simplified_GRE_2200_CE.geojson,2020-05-01,2020-09-30,https://n5eil02u.ecs.nsidc.org/egi/request/5000005624156,201,186,,,-1,0,0,,,,
GrIS,2021,simplified_GRE_2200_CE.geojson,2021-05-01,2021-09-30,https://n5eil02u.ecs.nsidc.org/egi/request/5000005624157,201,181,,,-1,0,0,,,,
GrIS,2022,simplified_GRE_2200_CE.geojson,2022-05-01,2022-09-30,https://n5eil02u.ecs.nsidc.org/egi/request/5000005624158,201,182,,,-1,0,0,,,,
GrIS,2023,simplified_GRE_2200_CE.geojson,2023-05-01,2023-09-30,https://n5eil02u.ecs.nsidc.org/egi/request/5000005624159,201,184,,,-1,0,0,,,,
GrIS,2019,simplified_GRE_2200_NE.geojson,2019-05-01,2019-09-30,https://n5eil02u.ecs.nsidc.org/egi/request/5000005624160,201,421,,,-1,0,0,,,,
GrIS,2020,simplified_GRE_2200_NE.geojson,2020-05-01,2020-09-30,https://n5eil02u.ecs.nsidc.org/egi/request/5000005624161,201,461,,,-1,0,0,,,,
GrIS,2021,simplified_GRE_2200_NE.geojson,2021-05-01,2021-09-30,https://n5eil02u.ecs.nsidc.org/egi/request/5000005624162,201,451,,,-1,0,0,,,,
GrIS,2022,simplified_GRE_2200_NE.geojson,2022-05-01,2022-09-30,https://n5eil02u.ecs.nsidc.org/egi/request/5000005624163,201,454,,,-1,0,0,,,,
GrIS,2023,simplified_GRE_2200_NE.geojson,2023-05-01,2023-09-30,https://n5eil02u.ecs.nsidc.org/egi/request/5000005624164,201,458,,,-1,0,0,,,,
GrIS,2019,simplified_GRE_2200_SW.geojson,2019-05-01,2019-09-30,https://n5eil02u.ecs.nsidc.org/egi/request/5000005624165,201,101,,,-1,0,0,,,,
GrIS,2020,simplified_GRE_2200_SW.geojson,2020-05-01,2020-09-30,https://n5eil02u.ecs.nsidc.org/egi/request/5000005624166,201,117,,,-1,0,0,,,,
GrIS,2021,simplified_GRE_2200_SW.geojson,2021-05-01,2021-09-30,https://n5eil02u.ecs.nsidc.org/egi/request/5000005624167,201,115,,,-1,0,0,,,,
GrIS,2022,simplified_GRE_2200_SW.geojson,2022-05-01,2022-09-30,https://n5eil02u.ecs.nsidc.org/egi/request/5000005624168,201,116,,,-1,0,0,,,,
GrIS,2023,simplified_GRE_2200_SW.geojson,2023-05-01,2023-09-30,https://n5eil02u.ecs.nsidc.org/egi/request/5000005624169,201,114,,,-1,0,0,,,,
