ice_sheet,melt_season,geojson,start_date,end_date,status_url,ngranules_request,request_code
AIS,2020-21,simplified_ANT_1000_East_C-Cp.geojson,2020-11-01,2021-03-31,-1,-1,-1
AIS,2021-22,simplified_ANT_1000_East_C-Cp.geojson,2021-11-01,2022-03-31,-1,-1,-1
AIS,2022-23,simplified_ANT_1000_East_C-Cp.geojson,2022-11-01,2023-03-31,-1,-1,-1
AIS,2018-19,simplified_ANT_1000_East_A-Ap.geojson,2018-11-01,2019-03-31,-1,-1,-1
AIS,2019-20,simplified_ANT_1000_East_A-Ap.geojson,2019-11-01,2020-03-31,-1,-1,-1
AIS,2020-21,simplified_ANT_1000_East_A-Ap.geojson,2020-11-01,2021-03-31,-1,-1,-1
AIS,2021-22,simplified_ANT_1000_East_A-Ap.geojson,2021-11-01,2022-03-31,-1,-1,-1
AIS,2022-23,simplified_ANT_1000_East_A-Ap.geojson,2022-11-01,2023-03-31,-1,-1,-1
AIS,2018-19,simplified_ANT_1000_East_Dp-E.geojson,2018-11-01,2019-03-31,-1,-1,-1
AIS,2019-20,simplified_ANT_1000_East_Dp-E.geojson,2019-11-01,2020-03-31,-1,-1,-1
AIS,2020-21,simplified_ANT_1000_East_Dp-E.geojson,2020-11-01,2021-03-31,-1,-1,-1
AIS,2021-22,simplified_ANT_1000_East_Dp-E.geojson,2021-11-01,2022-03-31,-1,-1,-1
AIS,2022-23,simplified_ANT_1000_East_Dp-E.geojson,2022-11-01,2023-03-31,-1,-1,-1
AIS,2018-19,simplified_ANT_1000_West_G-H.geojson,2018-11-01,2019-03-31,-1,-1,-1
AIS,2019-20,simplified_ANT_1000_West_G-H.geojson,2019-11-01,2020-03-31,-1,-1,-1
AIS,2020-21,simplified_ANT_1000_West_G-H.geojson,2020-11-01,2021-03-31,-1,-1,-1
AIS,2021-22,simplified_ANT_1000_West_G-H.geojson,2021-11-01,2022-03-31,-1,-1,-1
AIS,2022-23,simplified_ANT_1000_West_G-H.geojson,2022-11-01,2023-03-31,-1,-1,-1
AIS,2018-19,simplified_ANT_1000_West_H-Hp.geojson,2018-11-01,2019-03-31,-1,-1,-1
AIS,2019-20,simplified_ANT_1000_West_H-Hp.geojson,2019-11-01,2020-03-31,-1,-1,-1
AIS,2020-21,simplified_ANT_1000_West_H-Hp.geojson,2020-11-01,2021-03-31,-1,-1,-1
AIS,2021-22,simplified_ANT_1000_West_H-Hp.geojson,2021-11-01,2022-03-31,-1,-1,-1
AIS,2022-23,simplified_ANT_1000_West_H-Hp.geojson,2022-11-01,2023-03-31,-1,-1,-1
AIS,2018-19,simplified_ANT_1000_Peninsula_I-Ipp.geojson,2018-11-01,2019-03-31,-1,-1,-1
AIS,2019-20,simplified_ANT_1000_Peninsula_I-Ipp.geojson,2019-11-01,2020-03-31,-1,-1,-1
AIS,2020-21,simplified_ANT_1000_Peninsula_I-Ipp.geojson,2020-11-01,2021-03-31,-1,-1,-1
AIS,2021-22,simplified_ANT_1000_Peninsula_I-Ipp.geojson,2021-11-01,2022-03-31,-1,-1,-1
