ice_sheet,melt_season,geojson,start_date,end_date,status_url,request_code,ngranules_request
AIS,2019-20,simplified_ANT_1000_East_Jpp-K.geojson,2019-11-01,2020-03-31,https://n5eil02u.ecs.nsidc.org/egi/request/5000005624176,201,977
AIS,2020-21,simplified_ANT_1000_East_Jpp-K.geojson,2020-11-01,2021-03-31,https://n5eil02u.ecs.nsidc.org/egi/request/5000005624177,201,942
AIS,2021-22,simplified_ANT_1000_East_Jpp-K.geojson,2021-11-01,2022-03-31,https://n5eil02u.ecs.nsidc.org/egi/request/5000005624178,201,967
AIS,2022-23,simplified_ANT_1000_East_Jpp-K.geojson,2022-11-01,2023-03-31,https://n5eil02u.ecs.nsidc.org/egi/request/5000005624179,201,952
AIS,2018-19,simplified_ANT_1000_West_Ep-F.geojson,2018-11-01,2019-03-31,https://n5eil02u.ecs.nsidc.org/egi/request/5000005624180,201,1502
AIS,2019-20,simplified_ANT_1000_West_Ep-F.geojson,2019-11-01,2020-03-31,https://n5eil02u.ecs.nsidc.org/egi/request/5000005624181,201,1527
AIS,2020-21,simplified_ANT_1000_West_Ep-F.geojson,2020-11-01,2021-03-31,https://n5eil02u.ecs.nsidc.org/egi/request/5000005624182,201,1493
AIS,2021-22,simplified_ANT_1000_West_Ep-F.geojson,2021-11-01,2022-03-31,https://n5eil02u.ecs.nsidc.org/egi/request/5000005624184,201,1527
AIS,2022-23,simplified_ANT_1000_West_Ep-F.geojson,2022-11-01,2023-03-31,https://n5eil02u.ecs.nsidc.org/egi/request/5000005624185,201,1519
AIS,2018-19,simplified_ANT_1000_East_K-A.geojson,2018-11-01,2019-03-31,https://n5eil02u.ecs.nsidc.org/egi/request/5000005624186,201,390
AIS,2019-20,simplified_ANT_1000_East_K-A.geojson,2019-11-01,2020-03-31,https://n5eil02u.ecs.nsidc.org/egi/request/5000005624209,201,401
AIS,2020-21,simplified_ANT_1000_East_K-A.geojson,2020-11-01,2021-03-31,https://n5eil02u.ecs.nsidc.org/egi/request/5000005624210,201,384
AIS,2021-22,simplified_ANT_1000_East_K-A.geojson,2021-11-01,2022-03-31,https://n5eil02u.ecs.nsidc.org/egi/request/5000005624211,201,397
AIS,2022-23,simplified_ANT_1000_East_K-A.geojson,2022-11-01,2023-03-31,https://n5eil02u.ecs.nsidc.org/egi/request/5000005624212,201,391
AIS,2018-19,simplified_ANT_1000_West_F-G.geojson,2018-11-01,2019-03-31,https://n5eil02u.ecs.nsidc.org/egi/request/5000005624213,201,442
AIS,2019-20,simplified_ANT_1000_West_F-G.geojson,2019-11-01,2020-03-31,https://n5eil02u.ecs.nsidc.org/egi/request/5000005624214,201,451
AIS,2020-21,simplified_ANT_1000_West_F-G.geojson,2020-11-01,2021-03-31,https://n5eil02u.ecs.nsidc.org/egi/request/5000005624215,201,445
AIS,2021-22,simplified_ANT_1000_West_F-G.geojson,2021-11-01,2022-03-31,https://n5eil02u.ecs.nsidc.org/egi/request/5000005624216,201,450
