IS2_id,time_sonar,ndwi_thresh,ndwi_match_perc,ndwi_match_perc_norm,ndwi_match_perc_depth,ndwi_match_perc_max,Rsquared_log_B2B3,Rsquared_log_B2B3_match,Rsquared_log_B2,Rsquared_log_B2_match,Rsquared_log_B3,Rsquared_log_B3_match,Rsquared_log_B4,Rsquared_log_B4_match,Rsquared_max_full,Rsquared_max_match,Rsquared_max
lake_amery_fricker_1_00,2019-01-02T18:49:16Z,0.125,89.16666666666667,89.16666666666667,85.8108108108108,89.16666666666667,0.8925102284529671,0.7311127635011649,0.8880469386519115,0.6937936575164694,0.8880614816742476,0.7512063416722028,0.8578420865032157,0.7495399351391495,0.8925102284529671,0.7512063416722028,0.8925102284529671
lake_amery_fricker_1_01,2019-01-02T18:49:16Z,0.125,89.16666666666667,88.75,85.8108108108108,89.16666666666667,0.8930602756446739,0.7349727557328286,0.8884600663252558,0.6972796314158095,0.8886588664223175,0.7552352689035613,0.8578826709298315,0.7523330563997868,0.8930602756446739,0.7552352689035613,0.8930602756446739
lake_amery_fricker_1_02,2019-01-02T18:49:16Z,0.125,88.64628820960698,88.20960698689956,85.8108108108108,88.64628820960698,0.8829083925715783,0.7324082182237501,0.8775459123474015,0.695927071321076,0.8794912317382209,0.7524256370442658,0.8504634399390081,0.7511075473995562,0.8829083925715783,0.7524256370442658,0.8829083925715783
lake_amery_fricker_1_03,2019-01-02T18:49:16Z,0.125,91.26637554585153,90.82969432314411,88.51351351351352,91.26637554585153,0.9254845926733388,0.7893474154249223,0.9156367433382513,0.7369656016228022,0.9255427178446387,0.8187338633658601,0.8795790484961599,0.7984840276972929,0.9255427178446387,0.8187338633658601,0.9255427178446387
lake_amery_fricker_1_04,2019-01-02T18:49:16Z,0.125,91.66666666666666,91.25,88.51351351351352,91.66666666666666,0.9328901958535591,0.7879468319347768,0.9231826520310742,0.7330189885198102,0.9328254800938967,0.8181039156477745,0.8874912717387827,0.7969606521183983,0.9328901958535591,0.8181039156477745,0.9328901958535591
lake_amery_fricker_1_05,2019-01-02T18:49:16Z,0.125,91.66666666666666,91.25,88.51351351351352,91.66666666666666,0.9322805683631362,0.7905382699221701,0.9226601749014529,0.7360446715344109,0.9322568589230724,0.8207687186191639,0.887035254110722,0.7993134664359326,0.9322805683631362,0.8207687186191639,0.9322805683631362
lake_amery_fricker_2_00,2019-01-02T18:49:15Z,0.125,96.48033126293996,96.48033126293996,99.17127071823204,96.48033126293996,0.9202740840300168,0.7712066450965029,0.9138235440513522,0.7581814712616491,0.9213035312595611,0.7709696640689889,0.7104428057185379,0.5331575669317495,0.9213035312595611,0.7712066450965029,0.9213035312595611
lake_amery_fricker_2_01,2019-01-02T18:49:15Z,0.125,96.48033126293996,96.48033126293996,99.17127071823204,96.48033126293996,0.9203038717337518,0.7709336226510295,0.9140343956934984,0.7584649663137714,0.921167065015368,0.770210519655564,0.7097732087608509,0.5351191295179719,0.921167065015368,0.7709336226510295,0.921167065015368
lake_amery_fricker_2_02,2019-01-02T18:49:15Z,0.125,94.20289855072464,95.8592132505176,99.17127071823204,95.8592132505176,0.9357588654067016,0.7943692978092942,0.9267087740655798,0.771109390352731,0.9385895738425396,0.8006525557224856,0.7444100569940331,0.5479622823762402,0.9385895738425396,0.8006525557224856,0.9385895738425396
lake_amery_fricker_2_03,2019-01-02T18:49:15Z,0.125,94.20289855072464,95.65217391304348,99.17127071823204,95.65217391304348,0.9359349226028166,0.7946115307980106,0.927010969355885,0.7721530131665231,0.9387177238081851,0.8004890527472811,0.736780632724863,0.5440676809601308,0.9387177238081851,0.8004890527472811,0.9387177238081851
lake_amery_fricker_3_00,2019-01-02T18:48:59Z,0.125,98.59154929577466,98.94366197183099,100.0,98.94366197183099,0.914384186950185,0.761755514047241,0.8845767071536423,0.6528148843914914,0.9348774744958486,0.8342161843886096,0.8095832787653673,0.5685763687322372,0.9348774744958486,0.8342161843886096,0.9348774744958486
lake_amery_fricker_3_01,2019-01-02T18:48:59Z,0.125,98.59154929577466,98.94366197183099,100.0,98.94366197183099,0.9139519673159607,0.7609474891484687,0.8843390211923778,0.6532089508171516,0.9342800524201319,0.8330668023244644,0.8135549661809898,0.5745153375843803,0.9342800524201319,0.8330668023244644,0.9342800524201319
lake_amery_fricker_4_00,2019-01-02T18:48:55Z,0.125,98.16849816849816,97.06959706959707,97.32620320855615,98.16849816849816,0.9354345425399814,0.8740786851060653,0.917551514143044,0.8386209063582453,0.9446666258683503,0.8921006521515488,0.8945712600659177,0.8248681566183335,0.9446666258683503,0.8921006521515488,0.9446666258683503
lake_amery_fricker_4_01,2019-01-02T18:48:55Z,0.125,97.8021978021978,96.7032967032967,96.79144385026738,97.8021978021978,0.9353475238046581,0.8786539856645336,0.917649018007578,0.8429091946987801,0.9445010645353827,0.896881292052843,0.8932839387548173,0.8278661474774225,0.9445010645353827,0.896881292052843,0.9445010645353827
lake_greenland_melling_1_00,2020-07-06T01:02:59Z,0.125,98.78542510121457,98.78542510121457,98.32402234636871,98.78542510121457,0.9650498504817403,0.9528298737710809,0.9460888981238438,0.9142188454366585,0.9773902932927598,0.9750284924786434,0.9940232006094588,0.9941380971739275,0.9940232006094588,0.9941380971739275,0.9941380971739275
lake_greenland_melling_1_01,2020-07-06T01:02:59Z,0.125,97.16599190283401,97.57085020242914,100.0,97.57085020242914,0.9560001502220936,0.9668941166953127,0.9388775297393832,0.9401967714652104,0.9675982728820358,0.9807821618543618,0.964570279630415,0.9704242740995371,0.9675982728820358,0.9807821618543618,0.9807821618543618
