,granule,geojson,description,geojson_full,fn,hold_reason,is_memory
24,ATL03_20210504100933_06201105_006_01.h5,geojsons/simplified_GRE_2000_SE.geojson,GrIS_2021_2000_SE,geojsons/GRE_2000_SE.geojson,logs/job_GrIS_2021_2000_SE-200378_ATL03_20210504100933_06201105_006_01.h5-59.log,Job was held manually.,False
25,ATL03_20220511191525_07591505_006_01.h5,geojsons/simplified_GRE_2000_NW.geojson,GrIS_2022_2000_NW,geojsons/GRE_2000_NW.geojson,logs/job_GrIS_2022_2000_NW-200378_ATL03_20220511191525_07591505_006_01.h5-60.log,Job was held manually.,False
26,ATL03_20210116130731_03591012_006_01.h5,geojsons/simplified_ANT_1000_East_Dp-E.geojson,AIS_2020-21_1000_East_Dp-E,geojsons/ANT_1000_East_Dp-E.geojson,logs/job_AIS_2020-21_1000_East_Dp-E-200378_ATL03_20210116130731_03591012_006_01.h5-61.log,Job was held manually.,False
27,ATL03_20220726132845_05291605_006_02.h5,geojsons/simplified_GRE_2000_CW.geojson,GrIS_2022_2000_CW,geojsons/GRE_2000_CW.geojson,logs/job_GrIS_2022_2000_CW-200378_ATL03_20220726132845_05291605_006_02.h5-62.log,Job was held manually.,False
28,ATL03_20190503225412_05450304_006_02.h5,geojsons/simplified_GRE_2000_NO.geojson,GrIS_2019_2000_NO,geojsons/GRE_2000_NO.geojson,logs/job_GrIS_2019_2000_NO-200378_ATL03_20190503225412_05450304_006_02.h5-63.log,Job was held manually.,False
29,ATL03_20200510032155_06810705_006_01.h5,geojsons/simplified_GRE_2000_NO.geojson,GrIS_2020_2000_NO,geojsons/GRE_2000_NO.geojson,logs/job_GrIS_2020_2000_NO-200378_ATL03_20200510032155_06810705_006_01.h5-64.log,Job was held manually.,False
30,ATL03_20200506033014_06200705_006_01.h5,geojsons/simplified_GRE_2000_SE.geojson,GrIS_2020_2000_SE,geojsons/GRE_2000_SE.geojson,logs/job_GrIS_2020_2000_SE-200378_ATL03_20200506033014_06200705_006_01.h5-65.log,Job was held manually.,False
31,ATL03_20220501042951_05971503_006_01.h5,geojsons/simplified_GRE_2000_SE.geojson,GrIS_2022_2000_SE,geojsons/GRE_2000_SE.geojson,logs/job_GrIS_2022_2000_SE-200378_ATL03_20220501042951_05971503_006_01.h5-66.log,Job was held manually.,False
32,ATL03_20220502164904_06201505_006_01.h5,geojsons/simplified_GRE_2000_SE.geojson,GrIS_2022_2000_SE,geojsons/GRE_2000_SE.geojson,logs/job_GrIS_2022_2000_SE-200378_ATL03_20220502164904_06201505_006_01.h5-67.log,Job was held manually.,False
33,ATL03_20221116173514_08701710_006_01.h5,geojsons/simplified_ANT_1000_East_Dp-E.geojson,AIS_2022_1000_East_Dp-E,geojsons/ANT_1000_East_Dp-E.geojson,logs/job_AIS_2022_1000_East_Dp-E-200378_ATL03_20221116173514_08701710_006_01.h5-68.log,Job was held manually.,False
34,ATL03_20210227105255_09991012_006_01.h5,geojsons/simplified_ANT_1000_West_Ep-F.geojson,AIS_2020-21_1000_West_Ep-F,geojsons/ANT_1000_West_Ep-F.geojson,logs/job_AIS_2020-21_1000_West_Ep-F-200378_ATL03_20210227105255_09991012_006_01.h5-69.log,Job was held manually.,False
35,ATL03_20190506200257_05890304_006_02.h5,geojsons/simplified_GRE_2000_NE.geojson,GrIS_2019_2000_NE,geojsons/GRE_2000_NE.geojson,logs/job_GrIS_2019_2000_NE-200378_ATL03_20190506200257_05890304_006_02.h5-76.log,Job was held manually.,False
36,ATL03_20210505203321_06421103_006_01.h5,geojsons/simplified_GRE_2000_NO.geojson,GrIS_2021_2000_NO,geojsons/GRE_2000_NO.geojson,logs/job_GrIS_2021_2000_NO-200378_ATL03_20210505203321_06421103_006_01.h5-77.log,Job was held manually.,False
37,ATL03_20220504031254_06421503_006_01.h5,geojsons/simplified_GRE_2000_NO.geojson,GrIS_2022_2000_NO,geojsons/GRE_2000_NO.geojson,logs/job_GrIS_2022_2000_NO-200378_ATL03_20220504031254_06421503_006_01.h5-78.log,Job was held manually.,False
38,ATL03_20220511191525_07591505_006_01.h5,geojsons/simplified_GRE_2000_NO.geojson,GrIS_2022_2000_NO,geojsons/GRE_2000_NO.geojson,logs/job_GrIS_2022_2000_NO-200378_ATL03_20220511191525_07591505_006_01.h5-79.log,Job was held manually.,False
39,ATL03_20220929201025_01391704_006_01.h5,geojsons/simplified_GRE_2000_NE.geojson,GrIS_2022_2000_NE,geojsons/GRE_2000_NE.geojson,logs/job_GrIS_2022_2000_NE-200378_ATL03_20220929201025_01391704_006_01.h5-80.log,Job was held manually.,False
40,ATL03_20200504024205_05890704_006_01.h5,geojsons/simplified_GRE_2000_NE.geojson,GrIS_2020_2000_NE,geojsons/GRE_2000_NE.geojson,logs/job_GrIS_2020_2000_NE-200378_ATL03_20200504024205_05890704_006_01.h5-81.log,Job was held manually.,False
41,ATL03_20230504231958_06811905_006_01.h5,geojsons/simplified_GRE_2000_NO.geojson,GrIS_2023_2000_NO,geojsons/GRE_2000_NO.geojson,logs/job_GrIS_2023_2000_NO-200378_ATL03_20230504231958_06811905_006_01.h5-82.log,Job was held manually.,False
42,ATL03_20190502215043_05290305_006_02.h5,geojsons/simplified_GRE_2000_CW.geojson,GrIS_2019_2000_CW,geojsons/GRE_2000_CW.geojson,logs/job_GrIS_2019_2000_CW-200378_ATL03_20190502215043_05290305_006_02.h5-83.log,Job was held manually.,False
43,ATL03_20211128174703_10271311_006_01.h5,geojsons/simplified_ANT_1000_West_Ep-F.geojson,AIS_2021_1000_West_Ep-F,geojsons/ANT_1000_West_Ep-F.geojson,logs/job_AIS_2021_1000_West_Ep-F-200378_ATL03_20211128174703_10271311_006_01.h5-84.log,Job was held manually.,False
44,ATL03_20220525145029_09701505_006_01.h5,geojsons/simplified_GRE_2000_NE.geojson,GrIS_2022_2000_NE,geojsons/GRE_2000_NE.geojson,logs/job_GrIS_2022_2000_NE-200378_ATL03_20220525145029_09701505_006_01.h5-87.log,Job was held manually.,False
