,granule,geojson,description,geojson_full,fn,hold_reason,is_memory
19,ATL03_20190605181824_10460305_006_02.h5,geojsons/simplified_GRE_2000_NE.geojson,GrIS_2019_2000_NE,geojsons/GRE_2000_NE.geojson,logs/job_GrIS_2019_2000_NE-135549_ATL03_20190605181824_10460305_006_02.h5-10.log,The job restarted too many times,False
20,ATL03_20190609052512_10990303_006_02.h5,geojsons/simplified_GRE_2000_NE.geojson,GrIS_2019_2000_NE,geojsons/GRE_2000_NE.geojson,logs/job_GrIS_2019_2000_NE-135549_ATL03_20190609052512_10990303_006_02.h5-13.log,The job restarted too many times,False
21,ATL03_20190814150529_07260405_006_02.h5,geojsons/simplified_GRE_2000_NE.geojson,GrIS_2019_2000_NE,geojsons/GRE_2000_NE.geojson,logs/job_GrIS_2019_2000_NE-135549_ATL03_20190814150529_07260405_006_02.h5-22.log,The job restarted too many times,False
22,ATL03_20190826020105_09010404_006_02.h5,geojsons/simplified_GRE_2000_NE.geojson,GrIS_2019_2000_NE,geojsons/GRE_2000_NE.geojson,logs/job_GrIS_2019_2000_NE-135549_ATL03_20190826020105_09010404_006_02.h5-23.log,The job restarted too many times,False
23,ATL03_20190902144933_10160405_006_02.h5,geojsons/simplified_GRE_2000_NE.geojson,GrIS_2019_2000_NE,geojsons/GRE_2000_NE.geojson,logs/job_GrIS_2019_2000_NE-135549_ATL03_20190902144933_10160405_006_02.h5-24.log,The job restarted too many times,False
24,ATL03_20190909145324_11230404_006_02.h5,geojsons/simplified_GRE_2000_NE.geojson,GrIS_2019_2000_NE,geojsons/GRE_2000_NE.geojson,logs/job_GrIS_2019_2000_NE-135549_ATL03_20190909145324_11230404_006_02.h5-28.log,The job restarted too many times,False
25,ATL03_20190915135346_12140404_006_02.h5,geojsons/simplified_GRE_2000_NE.geojson,GrIS_2019_2000_NE,geojsons/GRE_2000_NE.geojson,logs/job_GrIS_2019_2000_NE-135549_ATL03_20190915135346_12140404_006_02.h5-31.log,The job restarted too many times,False
26,ATL03_20200524125505_09010703_006_01.h5,geojsons/simplified_GRE_2000_NE.geojson,GrIS_2020_2000_NE,geojsons/GRE_2000_NE.geojson,logs/job_GrIS_2020_2000_NE-135549_ATL03_20200524125505_09010703_006_01.h5-33.log,The job restarted too many times,False
27,ATL03_20200525123450_09160704_006_01.h5,geojsons/simplified_GRE_2000_NE.geojson,GrIS_2020_2000_NE,geojsons/GRE_2000_NE.geojson,logs/job_GrIS_2020_2000_NE-135549_ATL03_20200525123450_09160704_006_01.h5-34.log,The job restarted too many times,False
28,ATL03_20200529122105_09770703_006_01.h5,geojsons/simplified_GRE_2000_NE.geojson,GrIS_2020_2000_NE,geojsons/GRE_2000_NE.geojson,logs/job_GrIS_2020_2000_NE-135549_ATL03_20200529122105_09770703_006_01.h5-36.log,The job restarted too many times,False
29,ATL03_20200606120424_10990703_006_01.h5,geojsons/simplified_GRE_2000_NE.geojson,GrIS_2020_2000_NE,geojsons/GRE_2000_NE.geojson,logs/job_GrIS_2020_2000_NE-135549_ATL03_20200606120424_10990703_006_01.h5-38.log,The job restarted too many times,False
30,ATL03_20200611113549_11750704_006_01.h5,geojsons/simplified_GRE_2000_NE.geojson,GrIS_2020_2000_NE,geojsons/GRE_2000_NE.geojson,logs/job_GrIS_2020_2000_NE-135549_ATL03_20200611113549_11750704_006_01.h5-39.log,The job restarted too many times,False
31,ATL03_20200702102831_01080804_006_01.h5,geojsons/simplified_GRE_2000_NE.geojson,GrIS_2020_2000_NE,geojsons/GRE_2000_NE.geojson,logs/job_GrIS_2020_2000_NE-135549_ATL03_20200702102831_01080804_006_01.h5-46.log,The job restarted too many times,False
32,ATL03_20200705104549_01540804_006_01.h5,geojsons/simplified_GRE_2000_NE.geojson,GrIS_2020_2000_NE,geojsons/GRE_2000_NE.geojson,logs/job_GrIS_2020_2000_NE-135549_ATL03_20200705104549_01540804_006_01.h5-47.log,The job restarted too many times,False
33,ATL03_20200708000306_01930804_006_01.h5,geojsons/simplified_GRE_2000_NE.geojson,GrIS_2020_2000_NE,geojsons/GRE_2000_NE.geojson,logs/job_GrIS_2020_2000_NE-135549_ATL03_20200708000306_01930804_006_01.h5-49.log,The job restarted too many times,False
34,ATL03_20200717101528_03370803_006_01.h5,geojsons/simplified_GRE_2000_NE.geojson,GrIS_2020_2000_NE,geojsons/GRE_2000_NE.geojson,logs/job_GrIS_2020_2000_NE-135549_ATL03_20200717101528_03370803_006_01.h5-50.log,The job restarted too many times,False
35,ATL03_20200725095847_04590803_006_01.h5,geojsons/simplified_GRE_2000_NE.geojson,GrIS_2020_2000_NE,geojsons/GRE_2000_NE.geojson,logs/job_GrIS_2020_2000_NE-135549_ATL03_20200725095847_04590803_006_01.h5-52.log,The job restarted too many times,False
36,ATL03_20200725100412_04590804_006_01.h5,geojsons/simplified_GRE_2000_NE.geojson,GrIS_2020_2000_NE,geojsons/GRE_2000_NE.geojson,logs/job_GrIS_2020_2000_NE-135549_ATL03_20200725100412_04590804_006_01.h5-53.log,The job restarted too many times,False
37,ATL03_20200725224340_04670805_006_01.h5,geojsons/simplified_GRE_2000_NE.geojson,GrIS_2020_2000_NE,geojsons/GRE_2000_NE.geojson,logs/job_GrIS_2020_2000_NE-135549_ATL03_20200725224340_04670805_006_01.h5-54.log,The job restarted too many times,False
38,ATL03_20200730092449_05350803_006_01.h5,geojsons/simplified_GRE_2000_NE.geojson,GrIS_2020_2000_NE,geojsons/GRE_2000_NE.geojson,logs/job_GrIS_2020_2000_NE-135549_ATL03_20200730092449_05350803_006_01.h5-57.log,The job restarted too many times,False
39,ATL03_20200803092154_05960804_006_01.h5,geojsons/simplified_GRE_2000_NE.geojson,GrIS_2020_2000_NE,geojsons/GRE_2000_NE.geojson,logs/job_GrIS_2020_2000_NE-135549_ATL03_20200803092154_05960804_006_01.h5-58.log,The job restarted too many times,False
40,ATL03_20200804230450_06200804_006_01.h5,geojsons/simplified_GRE_2000_NE.geojson,GrIS_2020_2000_NE,geojsons/GRE_2000_NE.geojson,logs/job_GrIS_2020_2000_NE-135549_ATL03_20200804230450_06200804_006_01.h5-60.log,The job restarted too many times,False
41,ATL03_20200807215301_06650805_006_01.h5,geojsons/simplified_GRE_2000_NE.geojson,GrIS_2020_2000_NE,geojsons/GRE_2000_NE.geojson,logs/job_GrIS_2020_2000_NE-135549_ATL03_20200807215301_06650805_006_01.h5-63.log,The job restarted too many times,False
42,ATL03_20200816082550_07940803_006_01.h5,geojsons/simplified_GRE_2000_NE.geojson,GrIS_2020_2000_NE,geojsons/GRE_2000_NE.geojson,logs/job_GrIS_2020_2000_NE-135549_ATL03_20200816082550_07940803_006_01.h5-65.log,The job restarted too many times,False
43,ATL03_20210517091856_08181105_006_01.h5,geojsons/simplified_GRE_2000_NE.geojson,GrIS_2021_2000_NE,geojsons/GRE_2000_NE.geojson,logs/job_GrIS_2021_2000_NE-135549_ATL03_20210517091856_08181105_006_01.h5-72.log,The job restarted too many times,False
44,ATL03_20210518084807_08331104_006_01.h5,geojsons/simplified_GRE_2000_NE.geojson,GrIS_2021_2000_NE,geojsons/GRE_2000_NE.geojson,logs/job_GrIS_2021_2000_NE-135549_ATL03_20210518084807_08331104_006_01.h5-73.log,The job restarted too many times,False
45,ATL03_20210531185205_10381103_006_01.h5,geojsons/simplified_GRE_2000_NE.geojson,GrIS_2021_2000_NE,geojsons/GRE_2000_NE.geojson,logs/job_GrIS_2021_2000_NE-135549_ATL03_20210531185205_10381103_006_01.h5-76.log,The job restarted too many times,False
46,ATL03_20210613180652_12361104_006_01.h5,geojsons/simplified_GRE_2000_NE.geojson,GrIS_2021_2000_NE,geojsons/GRE_2000_NE.geojson,logs/job_GrIS_2021_2000_NE-135549_ATL03_20210613180652_12361104_006_01.h5-79.log,The job restarted too many times,False
47,ATL03_20210715060013_03301204_006_01.h5,geojsons/simplified_GRE_2000_NE.geojson,GrIS_2021_2000_NE,geojsons/GRE_2000_NE.geojson,logs/job_GrIS_2021_2000_NE-135549_ATL03_20210715060013_03301204_006_01.h5-85.log,The job restarted too many times,False
