,granule,geojson,description,geojson_full,fn,hold_reason,is_memory
19,ATL03_20220728123724_05591605_006_02.h5,geojsons/simplified_GRE_2000_SE.geojson,GrIS_2022_2000_SE,geojsons/GRE_2000_SE.geojson,logs/job_GrIS_2022_2000_SE-197770_ATL03_20220728123724_05591605_006_02.h5-2662.log,memory usage exceeded request_memory,True
20,ATL03_20200513125424_07330703_006_01.h5,geojsons/simplified_GRE_2000_NE.geojson,GrIS_2020_2000_NE,geojsons/GRE_2000_NE.geojson,logs/job_GrIS_2020_2000_NE-197770_ATL03_20200513125424_07330703_006_01.h5-2732.log,memory usage exceeded request_memory,True
21,ATL03_20210502092634_05891105_006_01.h5,geojsons/simplified_GRE_2000_NE.geojson,GrIS_2021_2000_NE,geojsons/GRE_2000_NE.geojson,logs/job_GrIS_2021_2000_NE-197770_ATL03_20210502092634_05891105_006_01.h5-2737.log,memory usage exceeded request_memory,True
22,ATL03_20220504155747_06501505_006_01.h5,geojsons/simplified_GRE_2000_NE.geojson,GrIS_2022_2000_NE,geojsons/GRE_2000_NE.geojson,logs/job_GrIS_2022_2000_NE-197770_ATL03_20220504155747_06501505_006_01.h5-2766.log,memory usage exceeded request_memory,True
23,ATL03_20220509152345_07261505_006_01.h5,geojsons/simplified_GRE_2000_NE.geojson,GrIS_2022_2000_NE,geojsons/GRE_2000_NE.geojson,logs/job_GrIS_2022_2000_NE-197770_ATL03_20220509152345_07261505_006_01.h5-2776.log,memory usage exceeded request_memory,True
24,ATL03_20220501171445_06051505_006_01.h5,geojsons/simplified_GRE_2000_SW.geojson,GrIS_2022_2000_SW,geojsons/GRE_2000_SW.geojson,logs/job_GrIS_2022_2000_SW-197770_ATL03_20220501171445_06051505_006_01.h5-2829.log,memory usage exceeded request_memory,True
25,ATL03_20220505170624_06661505_006_01.h5,geojsons/simplified_GRE_2000_SW.geojson,GrIS_2022_2000_SW,geojsons/GRE_2000_SW.geojson,logs/job_GrIS_2022_2000_SW-197770_ATL03_20220505170624_06661505_006_01.h5-2830.log,memory usage exceeded request_memory,True
26,ATL03_20190506200807_05890305_006_02.h5,geojsons/simplified_GRE_2000_CE.geojson,GrIS_2019_2000_CE,geojsons/GRE_2000_CE.geojson,logs/job_GrIS_2019_2000_CE-197770_ATL03_20190506200807_05890305_006_02.h5-2846.log,memory usage exceeded request_memory,True
27,ATL03_20200503140221_05810703_006_01.h5,geojsons/simplified_GRE_2000_CE.geojson,GrIS_2020_2000_CE,geojsons/GRE_2000_CE.geojson,logs/job_GrIS_2020_2000_CE-197770_ATL03_20200503140221_05810703_006_01.h5-2857.log,memory usage exceeded request_memory,True
28,ATL03_20210502092634_05891105_006_01.h5,geojsons/simplified_GRE_2000_CE.geojson,GrIS_2021_2000_CE,geojsons/GRE_2000_CE.geojson,logs/job_GrIS_2021_2000_CE-197770_ATL03_20210502092634_05891105_006_01.h5-2870.log,memory usage exceeded request_memory,True
29,ATL03_20190924131638_13510405_006_02.h5,geojsons/simplified_GRE_2000_NE.geojson,GrIS_2019_2000_NE,geojsons/GRE_2000_NE.geojson,logs/job_GrIS_2019_2000_NE-197770_ATL03_20190924131638_13510405_006_02.h5-3482.log,memory usage exceeded request_memory,True
