,granule,geojson,description,geojson_full,fn,hold_reason,is_memory
17,ATL03_20191123114545_08790510_006_01.h5,geojsons/simplified_ANT_1000_Peninsula_Ipp-J.geojson,AIS_2019-20_1000_Peninsula_Ipp-J,geojsons/ANT_1000_Peninsula_Ipp-J.geojson,logs/job_AIS_2019-20_1000_Peninsula_Ipp-J-114218_ATL03_20191123114545_08790510_006_01.h5-8542.log,memory usage exceeded request_memory,True
18,ATL03_20191127113724_09400510_006_01.h5,geojsons/simplified_ANT_1000_Peninsula_Ipp-J.geojson,AIS_2019-20_1000_Peninsula_Ipp-J,geojsons/ANT_1000_Peninsula_Ipp-J.geojson,logs/job_AIS_2019-20_1000_Peninsula_Ipp-J-114218_ATL03_20191127113724_09400510_006_01.h5-8544.log,memory usage exceeded request_memory,True
19,ATL03_20191226101326_13820510_006_01.h5,geojsons/simplified_ANT_1000_Peninsula_Ipp-J.geojson,AIS_2019-20_1000_Peninsula_Ipp-J,geojsons/ANT_1000_Peninsula_Ipp-J.geojson,logs/job_AIS_2019-20_1000_Peninsula_Ipp-J-114218_ATL03_20191226101326_13820510_006_01.h5-8560.log,memory usage exceeded request_memory,True
20,ATL03_20201128180813_10010910_006_01.h5,geojsons/simplified_ANT_1000_Peninsula_Ipp-J.geojson,AIS_2020-21_1000_Peninsula_Ipp-J,geojsons/ANT_1000_Peninsula_Ipp-J.geojson,logs/job_AIS_2020-21_1000_Peninsula_Ipp-J-114218_ATL03_20201128180813_10010910_006_01.h5-8604.log,memory usage exceeded request_memory,True
21,ATL03_20201219170058_13210910_006_01.h5,geojsons/simplified_ANT_1000_Peninsula_Ipp-J.geojson,AIS_2020-21_1000_Peninsula_Ipp-J,geojsons/ANT_1000_Peninsula_Ipp-J.geojson,logs/job_AIS_2020-21_1000_Peninsula_Ipp-J-114218_ATL03_20201219170058_13210910_006_01.h5-8616.log,memory usage exceeded request_memory,True
22,ATL03_20201223165238_13820910_006_01.h5,geojsons/simplified_ANT_1000_Peninsula_Ipp-J.geojson,AIS_2020-21_1000_Peninsula_Ipp-J,geojsons/ANT_1000_Peninsula_Ipp-J.geojson,logs/job_AIS_2020-21_1000_Peninsula_Ipp-J-114218_ATL03_20201223165238_13820910_006_01.h5-8618.log,memory usage exceeded request_memory,True
23,ATL03_20210121152844_04371010_006_01.h5,geojsons/simplified_ANT_1000_Peninsula_Ipp-J.geojson,AIS_2020-21_1000_Peninsula_Ipp-J,geojsons/ANT_1000_Peninsula_Ipp-J.geojson,logs/job_AIS_2020-21_1000_Peninsula_Ipp-J-114218_ATL03_20210121152844_04371010_006_01.h5-8634.log,memory usage exceeded request_memory,True
24,ATL03_20210125152023_04981010_006_01.h5,geojsons/simplified_ANT_1000_Peninsula_Ipp-J.geojson,AIS_2020-21_1000_Peninsula_Ipp-J,geojsons/ANT_1000_Peninsula_Ipp-J.geojson,logs/job_AIS_2020-21_1000_Peninsula_Ipp-J-114218_ATL03_20210125152023_04981010_006_01.h5-8636.log,memory usage exceeded request_memory,True
25,ATL03_20181122032821_08320112_006_02.h5,geojsons/simplified_ANT_1000_East_Dp-E.geojson,AIS_2018-19_1000_East_Dp-E,geojsons/ANT_1000_East_Dp-E.geojson,logs/job_AIS_2018-19_1000_East_Dp-E-114218_ATL03_20181122032821_08320112_006_02.h5-13329.log,memory usage exceeded request_memory,True
26,ATL03_20181205023737_10300112_006_02.h5,geojsons/simplified_ANT_1000_East_Dp-E.geojson,AIS_2018-19_1000_East_Dp-E,geojsons/ANT_1000_East_Dp-E.geojson,logs/job_AIS_2018-19_1000_East_Dp-E-114218_ATL03_20181205023737_10300112_006_02.h5-13349.log,memory usage exceeded request_memory,True
27,ATL03_20181217021239_12130112_006_02.h5,geojsons/simplified_ANT_1000_East_Dp-E.geojson,AIS_2018-19_1000_East_Dp-E,geojsons/ANT_1000_East_Dp-E.geojson,logs/job_AIS_2018-19_1000_East_Dp-E-114218_ATL03_20181217021239_12130112_006_02.h5-13366.log,memory usage exceeded request_memory,True
28,ATL03_20190103011346_00850212_006_02.h5,geojsons/simplified_ANT_1000_East_Dp-E.geojson,AIS_2018-19_1000_East_Dp-E,geojsons/ANT_1000_East_Dp-E.geojson,logs/job_AIS_2018-19_1000_East_Dp-E-114218_ATL03_20190103011346_00850212_006_02.h5-13393.log,memory usage exceeded request_memory,True
29,ATL03_20190119004019_03290212_006_02.h5,geojsons/simplified_ANT_1000_East_Dp-E.geojson,AIS_2018-19_1000_East_Dp-E,geojsons/ANT_1000_East_Dp-E.geojson,logs/job_AIS_2018-19_1000_East_Dp-E-114218_ATL03_20190119004019_03290212_006_02.h5-13416.log,memory usage exceeded request_memory,True
30,ATL03_20191120205410_08390510_006_01.h5,geojsons/simplified_ANT_1000_East_Dp-E.geojson,AIS_2019-20_1000_East_Dp-E,geojsons/ANT_1000_East_Dp-E.geojson,logs/job_AIS_2019-20_1000_East_Dp-E-114218_ATL03_20191120205410_08390510_006_01.h5-13489.log,memory usage exceeded request_memory,True
31,ATL03_20191124204550_09000510_006_01.h5,geojsons/simplified_ANT_1000_East_Dp-E.geojson,AIS_2019-20_1000_East_Dp-E,geojsons/ANT_1000_East_Dp-E.geojson,logs/job_AIS_2019-20_1000_East_Dp-E-114218_ATL03_20191124204550_09000510_006_01.h5-13496.log,memory usage exceeded request_memory,True
32,ATL03_20191211194649_11590510_006_01.h5,geojsons/simplified_ANT_1000_East_Dp-E.geojson,AIS_2019-20_1000_East_Dp-E,geojsons/ANT_1000_East_Dp-E.geojson,logs/job_AIS_2019-20_1000_East_Dp-E-114218_ATL03_20191211194649_11590510_006_01.h5-13523.log,memory usage exceeded request_memory,True
33,ATL03_20201118033318_08390910_006_01.h5,geojsons/simplified_ANT_1000_East_Dp-E.geojson,AIS_2020-21_1000_East_Dp-E,geojsons/ANT_1000_East_Dp-E.geojson,logs/job_AIS_2020-21_1000_East_Dp-E-114218_ATL03_20201118033318_08390910_006_01.h5-13652.log,memory usage exceeded request_memory,True
34,ATL03_20201122032459_09000910_006_01.h5,geojsons/simplified_ANT_1000_East_Dp-E.geojson,AIS_2020-21_1000_East_Dp-E,geojsons/ANT_1000_East_Dp-E.geojson,logs/job_AIS_2020-21_1000_East_Dp-E-114218_ATL03_20201122032459_09000910_006_01.h5-13659.log,memory usage exceeded request_memory,True
35,ATL03_20201205023420_10980910_006_01.h5,geojsons/simplified_ANT_1000_East_Dp-E.geojson,AIS_2020-21_1000_East_Dp-E,geojsons/ANT_1000_East_Dp-E.geojson,logs/job_AIS_2020-21_1000_East_Dp-E-114218_ATL03_20201205023420_10980910_006_01.h5-13678.log,memory usage exceeded request_memory,True
36,ATL03_20201221020103_13420910_006_01.h5,geojsons/simplified_ANT_1000_East_Dp-E.geojson,AIS_2020-21_1000_East_Dp-E,geojsons/ANT_1000_East_Dp-E.geojson,logs/job_AIS_2020-21_1000_East_Dp-E-114218_ATL03_20201221020103_13420910_006_01.h5-13701.log,memory usage exceeded request_memory,True
