iter,n_feat,mae,rmse,corr,bias,eliminated
1,62,0.5186612628680946,0.969367757970891,0.9545905232649546,0.042758207617323546,MSK_CLDPRB
2,61,0.5240113074065884,0.9736170806205952,0.9542946558582022,0.043379640166578734,SCL
3,60,0.5178888120298372,0.9586260562696169,0.9555190312521631,0.03844811259268795,VZA_B11_cos
4,59,0.5262478180519747,0.9870260787854412,0.9529646161067085,0.04544292607164251,RAA_B6_cos
5,58,0.5168302313826189,0.9539693947726298,0.9558559370482137,0.03582038435287608,VZA_B12_cos
6,57,0.5206329293353732,0.9633339195095698,0.9551010815051356,0.041681872603637815,RAA_B7_cos
7,56,0.5212683658547557,0.9683465771693088,0.9547106940914526,0.03974526021837122,VZA_B3_cos
8,55,0.5163045353396806,0.9385839326666385,0.9575400094630669,0.04057904595458451,VZA_B8A_cos
9,54,0.5188050311832367,0.9510537170055721,0.9565412121891121,0.043035426269506835,PhA_B4
10,53,0.5208325884238829,0.9676477197401436,0.9547273470546345,0.041377923634904175,RAA_B11_cos
11,52,0.527787142227871,0.9794621060938723,0.9535156695196422,0.0452152330647927,PhA_B6
12,51,0.5251870755060588,0.9723889187044549,0.9542416528400549,0.043940542752271106,RAA_B3_cos
13,50,0.5211279478328642,0.9657814487548909,0.9550329386030113,0.0456203556811845,VZA_B7_cos
14,49,0.5183747333370915,0.9581260577193079,0.9555044631559751,0.035942611645976126,PhA_B11
15,48,0.5222335491223127,0.9636157639927858,0.955141324253577,0.045057360568255996,RAA_B5_cos
16,47,0.5259062881573429,0.975403401231536,0.9539593774900768,0.04281416671675782,MSK_SNWPRB
17,46,0.5241153967642393,0.9646555088879238,0.954989919574325,0.04225798598899917,VZA_B6_cos
18,45,0.5210747782822319,0.9715353459992785,0.9543481970042086,0.041666920195508945,PhA_B8A
19,44,0.5185656787651597,0.9479844560180674,0.9566363165041243,0.039736288077976065,VZA_B9_cos
20,43,0.5239492996904304,0.966186541711443,0.9547857599347548,0.04122238220369296,RAA_B8A_cos
21,42,0.5196008104409799,0.9637711169332474,0.9549365455825845,0.038226448011744685,PhA_B3
22,41,0.5143073698133732,0.9408296672946611,0.95719817154998,0.03638150132791589,RAA_B8_cos
23,40,0.5298148095032491,0.9945563565096058,0.9522048240737522,0.04717960114423011,PhA_B7
24,39,0.5239273928184848,0.9693265649141056,0.9544710239252306,0.04090574066431046,VZA_B8_cos
25,38,0.5250656003941963,0.9706146400612014,0.9544689704161405,0.04297790728668259,RAA_B4_cos
26,37,0.5249161583724548,0.9903932900042838,0.952785133986325,0.05025819098497416,PhA_B5
27,36,0.5188963882171032,0.9589280100722252,0.9554602889880044,0.04108934666000641,VZA_B1_cos
28,35,0.5236652701105481,0.9878209499997076,0.9528224929599911,0.0483180211237758,RAA_B12_cos
29,34,0.5215706339747033,0.9624048451842685,0.9551684355078279,0.04166611330161533,B12_log
30,33,0.521696902611475,0.9660961100685448,0.9546586072267937,0.035958656519179275,PhA_B8
31,32,0.5172182093434128,0.957333768490149,0.9556437988481835,0.038058869145928924,RAA_B2_cos
32,31,0.5224591774534322,0.9629729815544823,0.9551333225296432,0.043070448173809325,B11_log
33,30,0.5258340020765503,0.9773941458241293,0.9537594345907471,0.04590221101568407,VZA_B5_cos
34,29,0.5236378088849892,0.9669315603599574,0.9546930227700876,0.04145127910835529,PhA_B1
35,28,0.5311990435142411,0.9936594269981485,0.9522306778167132,0.0502619344823937,WVP_log
36,27,0.523303944396667,0.9752695005737864,0.9537371917139754,0.03810568014096825,RAA_B9_cos
37,26,0.5201326153045411,0.9568128846163418,0.9556144760074304,0.039034001624686024,cloudScore_log
38,25,0.5248509551889423,0.9675361947523912,0.9546066107127732,0.04252613757846142,B9_log
39,24,0.5277333059122182,0.9762390872997232,0.9536652868798161,0.04324387897510817,PhA_B9
40,23,0.5225545428533457,0.9641153015888596,0.954778222720482,0.037057487356742407,VZA_B2_cos
41,22,0.5264473080106491,0.9667408523032704,0.9545596622239205,0.03929872978705488,PhA_B2
42,21,0.5285410545122575,0.9703310532714001,0.9544268585101832,0.048438241527966726,B8A_log
43,20,0.5281869454644564,0.9715122245367603,0.9541566937916476,0.04254973086536035,RAA_B1_cos
44,19,0.5266828523545549,0.9729547801541665,0.9539753988825983,0.04226819214689496,SZA_cos
45,18,0.5308473322238602,0.9728754873622387,0.9539765247098266,0.04203778935553309,VZA_B4_cos
46,17,0.5343849091131618,0.9716715070378553,0.9541932083374984,0.04681317933976176,B7_log
47,16,0.5337466813958227,0.9695823413143824,0.9543187417433314,0.043923740617607974,AOT_log
48,15,0.5427342717956298,0.9799039326328219,0.9532606596926738,0.04261345021654816,B6_log
49,14,0.5469337120631136,0.9953779961934034,0.9517250073717075,0.04482067095351831,PhA_B12
50,13,0.561444025115737,1.0208683586677352,0.9489753444175227,0.038125607213381915,B5_log
51,12,0.5654656881443733,1.0260301639214824,0.94849165126233,0.043319135681631565,B8_log
52,11,0.6105457205335344,1.0485533393370465,0.9460923054178012,0.045866902169947495,diff_logB2_logB4
53,10,0.6103081317363053,1.0497089048453112,0.9459497258918115,0.04428999031818079,B1_log
54,9,0.6141664599086731,1.0581641264922639,0.9450523462430648,0.0454937730549105,ndwi
55,8,0.6132533564166911,1.0544655473320268,0.9454908346878821,0.04716638477026811,B4_log
56,7,0.6153712128403884,1.0655759875761155,0.9443184457812526,0.049007493017359675,ratio_logB4_logB3
57,6,0.6139000085738726,1.0605041619976432,0.9448636070103301,0.047479613074173914,B2_log
58,5,0.6137648924625678,1.0585513943163722,0.9450259012690729,0.043353431941543605,ratio_logB4_logB2
59,4,0.6293860504518649,1.079398393349204,0.9433145416871409,0.04752078151042583,diff_logB2_logB3
60,3,0.6242018617761145,1.0735309438505225,0.943792472362113,0.053314399926860885,diff_logB3_logB4
61,2,1.2841936498619886,2.0888816961027845,0.763362659569349,0.0392463264137723,ratio_logB3_logB2
62,1,1.3921166228498172,2.1890301916612955,0.7396116697153526,0.1621107759063996,B3_log
