(41.7804000, -87.6027000)
(41.7804000, -87.6027000)
(41.7804000, -87.6027000)
(41.7804000, -87.6027000)
(41.7804000, -87.6027000)
(41.7804000, -87.6027000)
(41.7804000, -87.6027000)
(41.7804000, -87.6027000)
(41.8080000, -72.2510000)
(41.8080000, -72.2510000)
(41.8080000, -72.2510000)
(41.8080000, -72.2510000)
(41.8080000, -72.2510000)
(41.8080000, -72.2510000)
(41.8080000, -72.2510000)
(41.8080000, -72.2510000)
(41.8080000, -72.2510000)
(41.8080000, -72.2510000)
(41.8080000, -72.2510000)
(41.8080000, -72.2510000)
(41.8080000, -72.2510000)
(41.8080000, -72.2510000)
(41.8080000, -72.2510000)
(41.8080000, -72.2510000)
(41.8080000, -72.2510000)
(41.8080000, -72.2510000)
(41.8080000, -72.2510000)
(41.8080000, -72.2510000)
(41.8080000, -72.2510000)
(41.8080000, -72.2510000)
(41.8080000, -72.2510000)
(41.8080000, -72.2510000)
(41.8080000, -72.2510000)
(41.8080000, -72.2510000)
(41.8080000, -72.2510000)
(41.8080000, -72.2510000)
(41.8080000, -72.2510000)
(41.8080000, -72.2510000)
