lat,lon,xatc,depth,conf,h_fit_surf,h_fit_bed,B1,B2,B3,B4,B5,B6,B7,B8,B8A,B9,B11,B12,AOT,WVP,SCL,MSK_CLDPRB,MSK_SNWPRB,cloudScore,ndwi,SZA,SAA,VZA_B1,VZA_B2,VZA_B3,VZA_B4,VZA_B5,VZA_B6,VZA_B7,VZA_B8,VZA_B8A,VZA_B9,VZA_B11,VZA_B12,VAA_B1,VAA_B2,VAA_B3,VAA_B4,VAA_B5,VAA_B6,VAA_B7,VAA_B8,VAA_B8A,VAA_B9,VAA_B11,VAA_B12,tdiff_sec,plot_id,S2_id,IS2_id
-71.63690471062189,67.86101215244098,118.5,0.0,1.0,0.0,0.0,8870.2893081761,9383.59245283019,9148.193710691825,8434.46289308176,8195.171698113209,7736.708176100629,7022.889308176102,7135.084591194969,6409.961635220127,6379.010691823899,120.43710691823901,149.46792452830186,204,420.42452830188694,11,0,100.0,1.0,0.05326785338368541,55.89926601297456,56.654454418851806,4.656066427667635,4.357496979251503,4.3954120937641,4.445627083963073,4.479268654098728,4.516627302701672,4.558429124933223,4.374251023849279,4.603522674135661,4.710481800733322,4.51416991036171,4.61867737281749,273.88242572865715,290.95999090867923,286.9327783006524,283.2991303024881,281.3559327654648,279.460671519674,277.58563575267374,288.93504954932394,275.76805534568143,272.09215065804153,279.62391621043344,275.2442155614291,-81006,0,S2B_MSIL2A_20190102T041719_N0211_R061_T42DVF_20190102T073517,lake_amery_fricker_4_01
-71.6369491195835,67.86099319237704,123.5,0.0,1.0,0.0,0.0,8861.591836734693,9362.579591836735,9153.685400313974,8422.781789638932,8200.650863422294,7741.2006279434845,7016.070015698587,7131.01601255887,6397.025431711147,6375.506122448981,119.63422291993723,150.29638932496076,204,419.9811616954475,11,0,100.0,1.0,0.05284108554446631,55.89922697009209,56.65430670009627,4.656388144931779,4.35783067361872,4.395745252112781,4.445958560231512,4.479598711863332,4.516956108197579,4.5587561028768055,4.374584608256682,4.603848007681731,4.710801311865576,4.514497413930729,4.619000409624051,273.8957213548489,290.9643205621112,286.93934848614214,283.3075172157622,281.3653516477291,279.4710962493301,277.59704314518365,288.9405065422924,275.780411252166,272.1063594264346,279.6344268934188,275.25706886505924,-81006,1,S2B_MSIL2A_20190102T041719_N0211_R061_T42DVF_20190102T073517,lake_amery_fricker_4_01
-71.63699352529305,67.8609741826523,128.5,0.0,1.0,0.0,0.0,8853.79409918393,9347.645951035782,9155.018204645323,8408.554927809168,8209.049278091654,7746.815128688011,7007.602950408036,7116.462649089768,6380.466101694917,6372.364092906466,118.6148775894539,151.33866917765226,204,419.42059008160714,11,0,100.0,1.0,0.05288806032519399,55.89918792017852,56.65415900076746,4.656709781177457,4.35816428139057,4.396078323250832,4.446289951931677,4.479928685638287,4.517284829916965,4.55908299782127,4.374918105698087,4.604173258633624,4.711120742583172,4.5148248312596815,4.619323361017537,273.9090106331503,290.9686471204939,286.945914011084,283.31590009859104,281.3747660097427,279.481515994443,277.6084450797002,288.9459596522472,275.79276125912304,272.1205614226174,279.64493017837185,275.2699131291578,-81006,2,S2B_MSIL2A_20190102T041719_N0211_R061_T42DVF_20190102T073517,lake_amery_fricker_4_01
-71.63703792936322,67.86095512529992,133.5,0.0,1.0,0.0,0.0,8847.1776522285,9347.610797237916,9152.193345888261,8410.450721908352,8218.235091023227,7753.968298807283,6998.922473320779,7108.137162586316,6364.191148775895,6369.698053986191,117.6280602636535,152.34494664155685,204,419.1349654739485,11,0,100.0,1.0,0.0527737824491228,55.89914886230159,56.65401131508885,4.6570313507527805,4.35849781773914,4.3964113222346946,4.446621274020071,4.480258590281219,4.517613482615786,4.5594098244035175,4.375251531295258,4.604498441507898,4.711440107090725,4.515152177023758,4.61964624136381,273.9222938472699,290.97297065518205,286.9524749848438,283.32427913045217,281.38417605308035,279.4919309780131,277.6198418000795,288.9514089696812,275.80510563040593,272.1347569493288,279.6554262408469,275.2827485676754,-81006,3,S2B_MSIL2A_20190102T041719_N0211_R061_T42DVF_20190102T073517,lake_amery_fricker_4_01
-71.63708233263304,67.86093604469565,138.5,0.0,1.0,0.0,0.0,8841.73157729696,9346.624020068988,9148.043900909375,8422.417058639074,8222.49388523048,7758.835371589841,6994.668234556288,7111.801191596112,6355.13044841643,6367.503606146129,117.13170272812792,152.87927249921606,204,419.05487613672,11,0,100.0,1.0,0.052012202421961584,55.89910980016468,56.653863636495714,4.657352885837704,4.358831317412222,4.396744283271194,4.446952560508832,4.480588459486389,4.5179420996359,4.559736615597474,4.3755849195439,4.604823588880973,4.711759437124643,4.515479484185885,4.61996908259635,273.9355707862566,290.9772909520137,286.95903108575396,283.33265418259754,281.3935816325504,279.50234103833805,277.63123312815344,288.95685422639286,275.8174441712362,272.14894577850225,279.6659145664836,275.29557454670316,-81006,4,S2B_MSIL2A_20190102T041719_N0211_R061_T42DVF_20190102T073517,lake_amery_fricker_4_01
-71.63712673406019,67.86091691107814,143.5,0.0,1.0,0.0,0.0,8838.319649012847,9340.813538075838,9130.554685051706,8442.632403635222,8212.803823252896,7762.681291131308,7013.467565026637,7122.1889689752425,6358.485114384204,6366.128799749295,118.3970542149796,152.06581009088057,204,419.0047007207772,11,0,100.0,1.0,0.050506585584402,55.89907072925267,56.65371597307098,4.657674346495194,4.359164737658582,4.397077164178565,4.44728376939818,4.48091825160508,4.518270639710136,4.560063330546715,4.375918227955121,4.605148660332505,4.712078693243247,4.515806711962963,4.620291845086795,273.9488413362589,290.9816081414702,286.96558250951847,283.3410251780195,281.4029826625999,279.51274608198577,277.6426189631027,288.9622955856315,275.82977677440846,272.1631277912697,279.6763954694745,275.30839145599924,-81006,5,S2B_MSIL2A_20190102T041719_N0211_R061_T42DVF_20190102T073517,lake_amery_fricker_4_01
-71.63717113327232,67.86089771373501,148.5,0.0,1.0,0.0,0.0,8838.0,9328.598997493733,9109.378446115288,8456.774436090222,8200.14223057644,7767.2562656641585,7040.273496240601,7124.275689223057,6363.953320802002,6366.0,120.21240601503757,150.7879072681704,204,419.0,11,0,100.0,1.0031328320802004,0.049019187854512696,55.89903164793572,56.653568327716705,4.657995718219246,4.359498063055304,4.397409949709785,4.447614885494284,4.481247951558336,4.518599087881973,4.560389954430552,4.376251441185962,4.605473641183623,4.712397861104464,4.5161338455718205,4.620614514434042,273.96210534801656,290.98592222999173,286.97212926563304,283.34939202072945,281.4123790358224,279.52314599053835,277.65399917583454,288.9677330553632,275.8421033007519,272.17730282900527,279.68686896584177,275.3211993169968,-81006,6,S2B_MSIL2A_20190102T041719_N0211_R061_T42DVF_20190102T073517,lake_amery_fricker_4_01
-71.63721553176877,67.86087847624484,153.5,0.0,1.0,0.0,0.0,8838.0,9307.15888436227,9101.82137261047,8460.003760576623,8187.366029457852,7770.594171106238,7064.912566593545,7129.237543089941,6368.122845502976,6366.0,121.92792228141651,149.43121278596055,204,419.0,11,0,100.0,1.0184895017235978,0.04768094606411259,55.89899255924409,56.653420691750505,4.65831703742663,4.359831332718882,4.3977426784433975,4.447945947157688,4.481577597373621,4.518927481814408,4.560716524523657,4.3765845981043565,4.605798568294392,4.712716976656846,4.516460922286762,4.620937126836257,273.9753628152253,290.9902330736816,286.9786711389912,283.3577547109773,281.4217707519113,279.53354076267374,277.6653737637042,288.9731664559124,275.8544237456446,272.19147088239816,279.69733471170014,275.33399770436347,-81006,7,S2B_MSIL2A_20190102T041719_N0211_R061_T42DVF_20190102T073517,lake_amery_fricker_4_01
-71.63725993007361,67.86085922800574,158.5,0.0,1.0,0.0,0.0,8837.052037617555,9285.605015673984,9107.202507836992,8459.90470219436,8180.213166144202,7771.344827586209,7077.400000000002,7138.870846394985,6369.9228840125415,6365.729153605016,122.72037617554861,148.4959247648903,204,419.0225705329154,11,0,100.0,1.015360501567398,0.04653009840839948,55.89895346803648,56.65327305890834,4.658638339232398,4.360164584678329,4.398075387780502,4.4482769915706415,4.4819072258723605,4.519255857926119,4.561043076828575,4.376917736445649,4.606123477214949,4.713036074513706,4.516787978099815,4.621259717117357,273.9886133822217,290.99454038859744,286.98520770243283,283.3661130295589,281.43115756394894,279.5439301239023,277.6767424248941,288.97859543133325,275.8667377800525,272.20563156826154,279.707792023782,275.3467857767572,-81006,8,S2B_MSIL2A_20190102T041719_N0211_R061_T42DVF_20190102T073517,lake_amery_fricker_4_01
-71.63730432447791,67.86083993513432,163.5,0.0,1.0,0.0,0.0,8809.837617554858,9287.974921630093,9129.386833855799,8459.65893416928,8193.07398119122,7765.631347962383,7069.165517241379,7151.140438871474,6379.637931034484,6357.953605015674,119.86394984326016,146.34890282131664,204,419.6830721003135,11,0,100.0,1.0003134796238244,0.04667191098210231,55.898914371197115,56.65312544694643,4.658959558773305,4.3604977500718896,4.398408009561438,4.44860795089163,4.48223676970677,4.519584149390535,4.5613695451054745,4.377250787664019,4.606448302312632,4.713355090519739,4.517114946814025,4.621582220689638,274.00185619705906,290.99884409146955,286.99173882681515,283.37446643298586,281.4405388626507,279.5543134013365,277.6881044247607,288.9840198752189,275.8790446105932,272.2197839794468,279.7182406967111,275.3595632895296,-81006,9,S2B_MSIL2A_20190102T041719_N0211_R061_T42DVF_20190102T073517,lake_amery_fricker_4_01
