lat,lon,xatc,depth,conf,h_fit_surf,h_fit_bed,B1,B2,B3,B4,B5,B6,B7,B8,B8A,B9,B11,B12,AOT,WVP,SCL,MSK_CLDPRB,MSK_SNWPRB,cloudScore,ndwi,SZA,SAA,VZA_B1,VZA_B2,VZA_B3,VZA_B4,VZA_B5,VZA_B6,VZA_B7,VZA_B8,VZA_B8A,VZA_B9,VZA_B11,VZA_B12,VAA_B1,VAA_B2,VAA_B3,VAA_B4,VAA_B5,VAA_B6,VAA_B7,VAA_B8,VAA_B8A,VAA_B9,VAA_B11,VAA_B12,tdiff_sec,plot_id,S2_id,IS2_id
-72.98776045694055,67.26021410430225,100.5,0.0,1.0,0.0,0.0,,,,,,,,,,,,,,,,,,,1.0,57.1828,57.3929,7.56282,7.33816,7.37068,7.41034,7.43555,7.46381,7.49453,7.35304,7.52809,7.60257,7.45718,7.53333,314.151,304.571,306.774,308.796,309.88,310.973,312.049,305.673,313.124,315.236,310.726,313.284,-81000,0,S2B_MSIL2A_20190102T041719_N0211_R061_T42CVD_20190102T073517,lake_amery_fricker_1_03
-72.98780479126751,67.26019196216548,105.5,0.0,1.0,0.0,0.0,,,,,,,,,,,,,,,,,,,1.0,57.1828,57.3929,7.56282,7.33816,7.37068,7.41034,7.43555,7.46381,7.49453,7.35304,7.52809,7.60257,7.45718,7.53333,314.151,304.571,306.774,308.796,309.88,310.973,312.049,305.673,313.124,315.236,310.726,313.284,-81000,1,S2B_MSIL2A_20190102T041719_N0211_R061_T42CVD_20190102T073517,lake_amery_fricker_1_03
-72.98784912502886,67.26016981332818,110.5,0.0,1.0,0.0,0.0,,,,,,,,,,,,,,,,,,,1.0,57.1828,57.3929,7.56282,7.33816,7.37068,7.41034,7.43555,7.46381,7.49453,7.35304,7.52809,7.60257,7.45718,7.53333,314.151,304.571,306.774,308.796,309.88,310.973,312.049,305.673,313.124,315.236,310.726,313.284,-81000,2,S2B_MSIL2A_20190102T041719_N0211_R061_T42CVD_20190102T073517,lake_amery_fricker_1_03
-72.98789345507937,67.26014762053057,115.5,0.0,1.0,0.0,0.0,,,,,,,,,,,,,,,,,,,1.0,57.1828,57.3929,7.56282,7.33816,7.37068,7.41034,7.43555,7.46381,7.49453,7.35304,7.52809,7.60257,7.45718,7.53333,314.151,304.571,306.774,308.796,309.88,310.973,312.049,305.673,313.124,315.236,310.726,313.284,-81000,3,S2B_MSIL2A_20190102T041719_N0211_R061_T42CVD_20190102T073517,lake_amery_fricker_1_03
-72.98793778524521,67.26012542347557,120.5,0.0,1.0,0.0,0.0,,,,,,,,,,,,,,,,,,,1.0,57.1828,57.3929,7.56282,7.33816,7.37068,7.41034,7.43555,7.46381,7.49453,7.35304,7.52809,7.60257,7.45718,7.53333,314.151,304.571,306.774,308.796,309.88,310.973,312.049,305.673,313.124,315.236,310.726,313.284,-81000,4,S2B_MSIL2A_20190102T041719_N0211_R061_T42CVD_20190102T073517,lake_amery_fricker_1_03
-72.98798211580358,67.26010321192884,125.5,0.0,1.0,0.0,0.0,,,,,,,,,,,,,,,,,,,1.0,57.1828,57.3929,7.56282,7.33816,7.37068,7.41034,7.43555,7.46381,7.49453,7.35304,7.52809,7.60257,7.45718,7.53333,314.151,304.571,306.774,308.796,309.88,310.973,312.049,305.673,313.124,315.236,310.726,313.284,-81000,5,S2B_MSIL2A_20190102T041719_N0211_R061_T42CVD_20190102T073517,lake_amery_fricker_1_03
-72.98802644607159,67.26008099796934,130.5,0.0,1.0,0.0,0.0,,,,,,,,,,,,,,,,,,,1.0,57.1828,57.3929,7.56282,7.33816,7.37068,7.41034,7.43555,7.46381,7.49453,7.35304,7.52809,7.60257,7.45718,7.53333,314.151,304.571,306.774,308.796,309.88,310.973,312.049,305.673,313.124,315.236,310.726,313.284,-81000,6,S2B_MSIL2A_20190102T041719_N0211_R061_T42CVD_20190102T073517,lake_amery_fricker_1_03
-72.98807077401948,67.26005876473182,135.5,0.0,1.0,0.0,0.0,,,,,,,,,,,,,,,,,,,1.0,57.1828,57.3929,7.56282,7.33816,7.37068,7.41034,7.43555,7.46381,7.49453,7.35304,7.52809,7.60257,7.45718,7.53333,314.151,304.571,306.774,308.796,309.88,310.973,312.049,305.673,313.124,315.236,310.726,313.284,-81000,7,S2B_MSIL2A_20190102T041719_N0211_R061_T42CVD_20190102T073517,lake_amery_fricker_1_03
-72.98811510238127,67.26003653510763,140.5,0.0,1.0,0.0,0.0,,,,,,,,,,,,,,,,,,,1.0,57.1828,57.3929,7.56282,7.33816,7.37068,7.41034,7.43555,7.46381,7.49453,7.35304,7.52809,7.60257,7.45718,7.53333,314.151,304.571,306.774,308.796,309.88,310.973,312.049,305.673,313.124,315.236,310.726,313.284,-81000,8,S2B_MSIL2A_20190102T041719_N0211_R061_T42CVD_20190102T073517,lake_amery_fricker_1_03
-72.98815943334944,67.2600143282364,145.5,0.0,1.0,0.0,0.0,,,,,,,,,,,,,,,,,,,1.0,57.1828,57.3929,7.56282,7.33816,7.37068,7.41034,7.43555,7.46381,7.49453,7.35304,7.52809,7.60257,7.45718,7.53333,314.151,304.571,306.774,308.796,309.88,310.973,312.049,305.673,313.124,315.236,310.726,313.284,-81000,9,S2B_MSIL2A_20190102T041719_N0211_R061_T42CVD_20190102T073517,lake_amery_fricker_1_03
